bvalue = 25.704069, label = 0
bvalue = 28644.390770, label = 1
bvalue = 2.699520, label = 0
bvalue = 0.245896, label = 0
bvalue = 5.517493, label = 1
bvalue = 1.078490, label = 0
bvalue = 14253006.590550, label = 0
bvalue = 65.503058, label = 0
bvalue = 1.937676, label = 1
bvalue = 495095.546792, label = 1
bvalue = 279.762442, label = 0
bvalue = 93681.570464, label = 0
bvalue = 95152495.321298, label = 1
bvalue = 0.245896, label = 0
bvalue = 116275.325520, label = 0
bvalue = 3.011919, label = 0
bvalue = 132485.418408, label = 0
bvalue = 11.128350, label = 1
bvalue = 2698992.717104, label = 0
bvalue = 5912.277616, label = 1
bvalue = 283635.264470, label = 0
bvalue = 32338.325110, label = 0
bvalue = 0.387049, label = 0
bvalue = 625.838672, label = 0
bvalue = 437286648.778309, label = 1
bvalue = 1916281729670.463135, label = 1
bvalue = 1862.887537, label = 0
bvalue = 16.682987, label = 0
bvalue = 0.576729, label = 0
bvalue = 182.765282, label = 1
bvalue = 53.045234, label = 1
bvalue = 12582.026260, label = 0
bvalue = 136486.919765, label = 0
bvalue = 2.529514, label = 1
bvalue = 72497.675933, label = 1
bvalue = 8.316030, label = 1
bvalue = 28.886542, label = 1
bvalue = 10.416667, label = 0
bvalue = 3.785212, label = 0
bvalue = 495.999107, label = 1
bvalue = 3685.370206, label = 1
bvalue = 616665.237009, label = 1
bvalue = 3.246728, label = 0
bvalue = 7.009791, label = 1
bvalue = 685.311381, label = 0
bvalue = 1137.974138, label = 1
bvalue = 303695.388277, label = 1
bvalue = 4.457321, label = 1
bvalue = 0.154567, label = 1
bvalue = 970.919033, label = 0
bvalue = 4.364646, label = 0
bvalue = 187.993438, label = 1
bvalue = 938086.913718, label = 1
bvalue = 4.893052, label = 0
bvalue = 16647918080.178822, label = 1
bvalue = 1402918.322968, label = 0
bvalue = 6.863006, label = 1
bvalue = 8.497072, label = 1
bvalue = 0.266588, label = 1
bvalue = 4028.729353, label = 1
bvalue = 308.089677, label = 1
bvalue = 849894.111625, label = 1
bvalue = 746552.484606, label = 0
bvalue = 7.288291, label = 1
bvalue = 0.399388, label = 0
bvalue = 0.331314, label = 1
bvalue = 18.688794, label = 0
bvalue = 0.139318, label = 0
bvalue = 3.300330, label = 0
bvalue = 3.778623, label = 1
bvalue = 3.778623, label = 0
bvalue = 136.496157, label = 0
bvalue = 6039.581921, label = 0
bvalue = 0.676163, label = 0
bvalue = 1.589463, label = 1
bvalue = 8.135298, label = 1
bvalue = 246.950365, label = 1
bvalue = 426.921162, label = 1
bvalue = 50923.895387, label = 1
bvalue = 0.331183, label = 0
bvalue = 74439245.288402, label = 0
bvalue = 336.725376, label = 1
bvalue = 1.000000, label = 0
bvalue = 19128.515556, label = 0
bvalue = 1.156236, label = 1
bvalue = 1690.564381, label = 0
bvalue = 106.405968, label = 1
bvalue = 27.872711, label = 0
bvalue = 137.654889, label = 0
bvalue = 265268038977.919220, label = 1
bvalue = 2315.257482, label = 0
bvalue = 14.524107, label = 1
bvalue = 65672698997.961266, label = 1
bvalue = 3.077573, label = 0
bvalue = 2.411384, label = 1
bvalue = 365460577.118440, label = 1
bvalue = 62572.675078, label = 1
bvalue = 0.462378, label = 1
bvalue = 3.304847, label = 0
bvalue = 4.538993, label = 0
bvalue = 1442.829073, label = 1
bvalue = 1760.776805, label = 1
bvalue = 89.001583, label = 0
bvalue = 11.616764, label = 0
bvalue = 13.650014, label = 0
bvalue = 22.355017, label = 0
bvalue = 0.636132, label = 0
bvalue = 73995.529628, label = 1
bvalue = 1.489170, label = 1
bvalue = 74.886173, label = 1
bvalue = 113993.335270, label = 1
bvalue = 128.949065, label = 0
bvalue = 802.703338, label = 1
bvalue = 11763.261416, label = 1
bvalue = 0.403353, label = 0
bvalue = 0.729571, label = 0
bvalue = 202.688283, label = 1
bvalue = 377.177285, label = 0
bvalue = 5483898.179029, label = 0
bvalue = 63451.800820, label = 0
bvalue = 0.107341, label = 1
bvalue = 4472.271914, label = 0
bvalue = 199.610364, label = 0
bvalue = 2691.819438, label = 1
bvalue = 111.905517, label = 1
bvalue = 705.822599, label = 1
bvalue = 692.041522, label = 1
bvalue = 133764566.368424, label = 1
bvalue = 97781.018661, label = 1
bvalue = 26.560247, label = 0
bvalue = 1.078490, label = 1
bvalue = 449.894719, label = 1
bvalue = 0.513665, label = 1
bvalue = 70.875960, label = 1
bvalue = 63.175349, label = 0
bvalue = 1.104826, label = 0
bvalue = 34.923984, label = 0
bvalue = 133.967273, label = 0
bvalue = 597.717695, label = 0
bvalue = 1.541635, label = 1
bvalue = 10.041642, label = 1
bvalue = 279909.849298, label = 1
bvalue = 486019466.359452, label = 1
bvalue = 124780871.903907, label = 0
bvalue = 0.525295, label = 0
bvalue = 2484101.595153, label = 1
bvalue = 2381676.406320, label = 0
bvalue = 168.753643, label = 0
bvalue = 17.785683, label = 0
bvalue = 44158.180331, label = 1
bvalue = 48.545062, label = 1
bvalue = 95518.863210, label = 0
bvalue = 253901.129236, label = 1
bvalue = 2.820275, label = 0
bvalue = 112441215.535033, label = 0
bvalue = 0.386548, label = 0
bvalue = 3838.270690, label = 1
bvalue = 204.001760, label = 0
bvalue = 3168.269800, label = 1
bvalue = 5205647.853047, label = 0
bvalue = 1.078068, label = 0
bvalue = 3068474.271338, label = 0
bvalue = 68073.040641, label = 1
bvalue = 7243.018231, label = 0
bvalue = 39.154258, label = 0
bvalue = 1.749575, label = 1
bvalue = 0.527585, label = 1
bvalue = 1.577287, label = 0
bvalue = 361795.548177, label = 0
bvalue = 12565276.504545, label = 1
bvalue = 0.214891, label = 1
bvalue = 3896.466338, label = 1
bvalue = 8.081640, label = 0
bvalue = 2282.960230, label = 1
bvalue = 3210.713457, label = 1
bvalue = 2477876332.053674, label = 1
bvalue = 12.676016, label = 1
bvalue = 0.729303, label = 0
bvalue = 2.120302, label = 0
bvalue = 0.619316, label = 1
bvalue = 2.634400, label = 0
bvalue = 664110203068.528809, label = 0
bvalue = 130.134419, label = 0
bvalue = 14779.571265, label = 1
bvalue = 9.251207, label = 0
bvalue = 156.969573, label = 0
bvalue = 1.176760, label = 0
bvalue = 207.008098, label = 0
bvalue = 114.169652, label = 1
bvalue = 62.716633, label = 1
bvalue = 0.753505, label = 0
bvalue = 169835.925861, label = 0
bvalue = 327773.154658, label = 1
bvalue = 0.370571, label = 1
bvalue = 0.851184, label = 0
bvalue = 558.269744, label = 0
bvalue = 20.174260, label = 1
bvalue = 42406137.813273, label = 1
bvalue = 1.798016, label = 1
bvalue = 36.331826, label = 0
bvalue = 26.560247, label = 0
bvalue = 0.657336, label = 1
bvalue = 0.288229, label = 0
bvalue = 3958.323242, label = 1
bvalue = 25.773550, label = 0
bvalue = 11267.924564, label = 0
bvalue = 13.163143, label = 0
bvalue = 4.010796, label = 0
bvalue = 0.633870, label = 1
bvalue = 0.386548, label = 0
bvalue = 0.373127, label = 0
bvalue = 229.581800, label = 0
bvalue = 13.981599, label = 1
bvalue = 9218195.730423, label = 1
bvalue = 23.780333, label = 1
bvalue = 1.043352, label = 0
bvalue = 571261278.603958, label = 0
bvalue = 37.916739, label = 1
bvalue = 35.772140, label = 0
bvalue = 1081.194566, label = 1
bvalue = 301.506190, label = 1
bvalue = 0.446345, label = 0
bvalue = 511.114242, label = 1
bvalue = 20331150.312775, label = 0
bvalue = 6.949872, label = 0
bvalue = 32.594876, label = 0
bvalue = 325.950119, label = 1
bvalue = 95.367224, label = 0
bvalue = 0.261971, label = 1
bvalue = 6.235191, label = 0
bvalue = 943.470854, label = 0
bvalue = 29.539757, label = 1
bvalue = 0.560245, label = 0
bvalue = 20826.319330, label = 1
bvalue = 542313248559.254150, label = 0
bvalue = 2.654411, label = 0
bvalue = 1.461179, label = 0
bvalue = 0.313180, label = 1
bvalue = 746336.462478, label = 0
bvalue = 0.653518, label = 1
bvalue = 60.664887, label = 1
bvalue = 19276100.161021, label = 1
bvalue = 236720.930544, label = 0
bvalue = 111.506350, label = 0
bvalue = 1828.083895, label = 1
bvalue = 11091.497915, label = 1
bvalue = 58.992520, label = 0
bvalue = 665.953446, label = 1
bvalue = 340.423072, label = 0
bvalue = 1.219511, label = 0
bvalue = 353.200357, label = 0
bvalue = 1.695387, label = 1
bvalue = 219.467033, label = 0
bvalue = 73366.182510, label = 1
bvalue = 23360779.527280, label = 0
bvalue = 200262.799305, label = 1
bvalue = 9506.682223, label = 1
bvalue = 3317491048.768255, label = 0
bvalue = 3.691608, label = 0
bvalue = 1494.322874, label = 1
bvalue = 19.564447, label = 0
bvalue = 32.282584, label = 1
bvalue = 3210443431.971604, label = 0
bvalue = 73033330.770949, label = 0
bvalue = 0.990712, label = 0
bvalue = 41316.512112, label = 1
bvalue = 4870602.231104, label = 1
bvalue = 10.934667, label = 0
bvalue = 27.186491, label = 1
bvalue = 0.815451, label = 0
bvalue = 39758.227358, label = 1
bvalue = 10245615805.605211, label = 0
bvalue = 0.760313, label = 0
bvalue = 2996857864.716418, label = 1
bvalue = 29384761347.347809, label = 0
bvalue = 104408.644140, label = 1
bvalue = 12583420.936922, label = 1
bvalue = 37933329573.842445, label = 0
bvalue = 482.509050, label = 0
bvalue = 1396.423431, label = 1
bvalue = 7093.568860, label = 1
bvalue = 198560.010275, label = 0
bvalue = 5445.757994, label = 0
bvalue = 16.811216, label = 1
bvalue = 14.478935, label = 0
bvalue = 9.452319, label = 0
bvalue = 2.034794, label = 0
bvalue = 2363663.868089, label = 1
bvalue = 7865.119518, label = 1
bvalue = 30.021584, label = 1
bvalue = 27593.036689, label = 0
bvalue = 0.092179, label = 0
bvalue = 338.878670, label = 0
bvalue = 865.215542, label = 0
