到了以後他走著走著就不知道在哪裡 到了以後他走著走著就不知道他在哪裡
他帶著他的照相機 他帶他的照相機
小安請他幫忙把小安送到火車站 小安請他幫忙小安送到火車站
他等著等著就來了一輛紅車 他等著等著就來一輛紅車
明天我不能上中文課 明天我能上中文課
他從舞會結束４點才到家 他從舞會４點才到家
想他的功課 想想他的功課
真的對不起 我對你真的對不起
最近找工作很難 最近找工作很難找
他再也不會這樣子 他再也不會這樣
小明和小華在烤肉 小明和小華在烤
我給她的時候 我給她時候
看電影的時候 看電影時候
我要坐下 我要過坐下
走路的時候 走路時候
我沒聽到老師的話因為我一直想晚上的約會 我沒聽到老師的說話因為我一直想晚上的約會
我們一起坐捷運 我們跟一起坐捷運
因為晚上我要跟我的愛人去看電影 因為晚上我跟我的愛人去看電影
再去上課 我再去上課
因為你一直很用功 因為你一直用功
我要買你的國家的衣服 我要你的國家的衣服
晚上一點才睡著 晚上一點才睡著了
可是很多人在賣票的地方前面等 可是很多人賣票的地方前面等
才到電影院 才到電影院了
我們先去吃一點東西 我們先去吃一點東西了
我用照像機拍 我用照像機
他很親切地帶我去火車站 他很親切帶我去火車站
都已經天黑了 已經天黑了
我去陽明山爬山 我去了陽明山爬山
我們在公車聊很多 我們在公車聊天很多
我以前知道妳又聰明又用功 我以前知道妳又很聰明又用功
我打開門亂講 我來打開門亂講
我一直看我的手錶 我一直要看我的手錶
他走了很久 他走了走了很久
你知道這個周末是我弟弟的生日嗎 你知道這個周末我弟弟的生日嗎
我們給一個同學打電話問我們的功課 我給一個同學打電話問我們的功課
他跟路上的人問路 他跟路上的人問過路
所以讓他努力學中文 所以讓他努力的學中文
所以我們出去了 所以我們要出去了
有雞肉 雞肉
可是我們下雨不可能烤肉 可是我們在下雨不可能烤肉
我們已經太久沒見面了 我們已經太久沒見面
我真對不起 我想真對不起
什麼時間都沒有空 什麼都沒有空
讓我覺得很幸福 讓我很幸福
他想問別人 他想問別的人
我帶照相機 我有帶照相機
可是從山上到我家很遠 可是從山到我家很遠
聽說你的身體不好 聽說你的身不好
所以禮物我會給你的爸爸 所以我會給你的爸爸
請問你的樣子 請問你的樣
他叫大衛是美國人 他叫大衛他是美國人
因為他覺得在台灣沒有韓國這麼多好玩的地方 因為他覺得在台灣沒有韓國這麼好玩的地方
真的可惜喔 我真的可惜喔
我希望你們幸福 我希望你們的幸福
我為你高興 我為你很高興
到的時候已經開始上課 的時候已經開始上課
高興得醒過來了 高興得早醒過來了
我們點了這個餐廳的推薦菜跟紅酒 我們點這個餐廳的推薦菜跟紅酒
以前我跟你說一起去吃飯可是那時候我生病了 以前我跟你說一起去吃飯可是那兒時候我生病了
請你多保重 請你多
順便點一點小菜吃 順便點一點小菜吃的
他們去陽明山烤肉 他們去陽明山烤肉吃飯
我迷路了 我迷路
有一輛紅色的車來了 有一輛紅色的車來
他玩到很晚才回家 他玩很晚才回家
李台生要回去但是到了旁邊的路沒有車可以坐回去 李台生要回去但是我到了旁邊的路沒有車可以坐回去
那個人停車然後問李台生「你有什麼事嗎」 那個人車然後問李台生「你有什麼事嗎」
買了電影票跟甜點就進去電影院 買電影票跟甜點就進去電影院
所以我問我的朋友要跟我一起去看電影嗎 所以我問我的朋友她要跟我一起去看電影嗎
吃過早餐以後坐公車到鄉下去了 吃早餐以後坐公車到鄉下去了
可是周末因為天氣很好我覺得去鄉下比較好 可是周末到了因為天氣很好我覺得去鄉下比較好
我很高興 我很高興了
你一定出院了吧 你一定要出院了吧
我希望你們永遠過順利的生活 我希望你們永遠過去順利的生活
我出國跟客戶交易 我在出國跟客戶交易
後天下課的時候我們一起去吧 後天下了課的時候我們一起去吧
記得要照很多照片給我看 記得照很多照片給我看
他起來就洗澡去上課 他起來就洗澡就去上課
他準備上學 他馬上準備上學
抱歉 抱歉你們
吃完後我覺得我們的運氣還好 吃完後我覺得我們的運氣還好了
所以你很辛苦 所以你很辛苦了
我們帶了很多吃的東西 我們帶很多吃的東西
然後到公共汽車站等公車 然後到公共汽車等公車
我還沒坐公車去 我還沒坐車去
我不要被當 我不要被當學
明天早上起床的時候就已到上課的時間了 明天早上起床的時候就到上課的時間了
他會說明得很明白 他會說明很明白
