可是當時我的中文還不太好的 可是當時我的中文還是不太好的
我喜歡看的那本書是美國的 我喜歡看那本書是美國的
希望國語中心的人員可以借我們教室 希望國語中心的人員可以借我們借教室
我覺得在教室最好 我覺得在教室最好的
與沒有目標差不多的情況 與沒有目標了差不多的情況
第二組的要表演高中生時的她們 第二組的要表演高中生的時的她們
我決定表演的題目是「我們的青春」 我決定的表演的題目是「我們的青春」
首先說表演題目的事情 首先說表演的題目的事情
要是你下次去旅行一定要去法國 要是你下次去旅行你一定要去法國
表演的當天我們會用這些東西 表演的當天我們用這些東西
李小家 收李小家
所以我也買一張卡片跟郵票 我也買一張卡片跟郵票
我去過台北１０１ 我去台北１０１
常常聽不懂 我常常聽不懂
所以我每天坐捷運去欣賞其他的地方 所以我每天坐捷運去欣賞的地方
頭上會戴著藍色的帽子 頭會戴著藍色的帽子
我要介紹他給你認識 我要介紹他給你
我想跟他談一談 我跟他談一談
你剛找到的工作比以前的好嗎 你剛找到的工作比以前好嗎
所以我沒有機會跟她說話 所以我沒有機會跟她說
告訴我你們的看法 告訴你們的看法
因為有表演台 因為有表台
他跟他的同伴挑戰了很多的困難 他跟他的同伴挑戰很多的困難
一定猶豫要吃什麼 一定猶豫吃什麼
可是比日本會下雨 可是比日本會下很多雨
我去山上 我去了山上
我這次坐飛機去 我這次坐飛機去了
我利用學校放假的時間跟朋友去瑞士 我利用學校放假的時間跟朋友去了瑞士
我認為這次活動的時候要表演「學國語過程中的苦與樂」 我認為這次活動的時候要表演「學國語的過程中的苦與樂」
我覺得這次表演對國語中心的學生來說最重要的活動之一 我覺得這次表演是對國語中心的學生來說最重要的活動之一
親愛的老師 ＴＯ親愛的老師
大概有二十個 大概有二十
巴拿馬的天氣比台灣的天氣好得多呢 巴拿馬的天氣比台灣的天氣好多呢
我今早搭計程車的時候 我今搭計程車的時候
司機真好 司機好
去真理大學 真理大學
現在住在我姑姑的家 住在我姑姑的家
住在大城市很容易讓人有壓力 住在一個大城市很容易讓人有壓力
比方說 比方
沒想到真的不容易找到所有的東西 沒想到真的容易找到所有的東西
我是李小家 李小家
我的老家在鄉下 我的老家在鄉下的地方
可是很多學生說英文說得不太好 可是很多學生會說英文說得不太好
所以他們說話的時候他們學過的生詞 所以他們說話時候他們學過的生詞
所以上課的時候 所以上課時候
我覺得他們念高中的時候已經學到文法 我覺得他們念高中時候已經學到文法
台北有名的旅遊景點的其中一個 台北有名的旅遊景點其中一個
我們會去台北車站附近的四個地下街逛一逛 我們會去台北車站附近四個地下街逛一逛
回家的時候看房子亂七八糟讓我很生氣 回家的時候看房子那麼亂七八糟讓我很生氣
我買的是一雙休閒鞋 我買的是一雙閒鞋
抱怨的人會越來越多 抱怨的人越來越多
學生們感覺到 學生們感覺到這件事
那時候我已經來臺灣了 那時候我已經來臺灣
而且你天天都可以吃又好吃又便宜的東西 而且你天天都可以吃又好吃又便宜吃的東西
她做事情做得很完美 她做的事情做得很完美
若發生什麼問題她會叫我們自己解決 若發生什麼問題她叫我們自己解決
對我來說她對我有很大的影響 對我來說她有很大的影響
天氣很像韓國的秋天 的天氣很像韓國的秋天
雖然可能四月但常下雨 雖然可能四月常下雨
可是都沒看見外婆 可是都沒看見外婆在哪
到了家裡 到了家
